"","SEX","POPULATION","longitude","longitude2","latitude","GOL","NOL","BNL","BBH","XCB","XFB","ZYB","AUB","WCB","ASB","BPL","NPH","NLH","JUB","NLB","MAB","MDH","MDB","OBH","OBB","DKB","NDS","WNB","SIS","ZMB","SSS","FMB","NAS","EKB","DKS","IML","XML","MLS","WMH","SOS","BLS","STB","FRC","FRS","FRF","PAC","PAS","PAF","OCC","OCS","OCF","FOL","cosine.latitude"
"1","F","AINU",140,140,50,178.736842105263,177,99.9210526315789,132.473684210526,137.105263157895,114.894736842105,128.236842105263,118.447368421053,71.7894736842105,106.710526315789,97.4210526315789,64,48.1842105263158,114.631578947368,26.4473684210526,62.2631578947368,24.7631578947368,11.2894736842105,34.2368421052632,39.9473684210526,20.5789473684211,9.23684210526316,8.07894736842105,2.68421052631579,93.7105263157895,21.7631578947368,95.6842105263158,15.7368421052632,97.6578947368421,9.97368421052632,32.2368421052632,48.5,10.4473684210526,22.1842105263158,4.47368421052632,2.71052631578947,111.921052631579,108.736842105263,26.7105263157895,48.7105263157895,110.736842105263,22.8157894736842,56.9473684210526,97.2631578947368,27.4473684210526,45.6315789473684,34.7368421052632,0.642787609686539
"2","M","AINU",140,140,50,189.979166666667,187.041666666667,106.604166666667,138.5625,142.958333333333,119.645833333333,138.9375,125.75,75.6875,112.458333333333,104.5625,67.5,50.9583333333333,122.75,27.7291666666667,66.7708333333333,29.9375,13.9375,34.1458333333333,41.75,21.75,10.25,8.72916666666667,3.71875,99.1666666666667,22.6458333333333,100.8125,16.3958333333333,102.5,9.97916666666667,35.6041666666667,53.7916666666667,11.9583333333333,23.8958333333333,5.41666666666667,4.22916666666667,115.083333333333,112.4375,26.9791666666667,50.8541666666667,115.604166666667,23.4791666666667,60.5416666666667,100.416666666667,28.75,47.7708333333333,37.625,0.642787609686539
"3","F","ANDAMAN",70,70,0,160.114285714286,159.428571428571,89.4285714285714,123.514285714286,131.085714285714,106.114285714286,117.6,108.514285714286,65.7714285714286,95.7428571428571,90.8571428571429,56.6285714285714,43.7142857142857,106.314285714286,24.1428571428571,58.1142857142857,22.8,10.3142857142857,32.2,36.4,20.8285714285714,8.88571428571429,8.94285714285714,2.21428571428571,90,22.5428571428571,89.2285714285714,14.8857142857143,90.5428571428571,9.68571428571429,33.7142857142857,48,10.4,18.5714285714286,4.85714285714286,1.62857142857143,103.514285714286,101.571428571429,23.7142857142857,46,102.342857142857,22.9142857142857,55.4285714285714,89.6,22.5142857142857,42.2285714285714,32.1142857142857,1
"4","M","ANDAMAN",70,70,0,168.857142857143,167.542857142857,93.8571428571429,129.4,135.657142857143,110.542857142857,123.828571428571,113.342857142857,69.1714285714286,100.257142857143,92.8285714285714,60.6857142857143,46.8571428571429,111.828571428571,24.7142857142857,60.8,25.5428571428571,11.3142857142857,32.7142857142857,37.5714285714286,21.2857142857143,9.65714285714286,8.14285714285714,2.33428571428571,93.2,24.0285714285714,92.4,15.7428571428571,93.1714285714286,10.3142857142857,35.9142857142857,51.2,11.4285714285714,20.2285714285714,5.82857142857143,2.45714285714286,107.971428571429,106.657142857143,24.8285714285714,48.7142857142857,107.542857142857,24.8285714285714,57.7428571428571,91.6857142857143,24.2857142857143,43.7714285714286,33.6571428571429,1
"5","M","ANYANG",120,120,40,181,178.857142857143,101.285714285714,140.261904761905,138.785714285714,114.809523809524,135.952380952381,125.690476190476,74.1904761904762,108.238095238095,97.5,69.4285714285714,52.4761904761905,121.214285714286,28.2857142857143,66.6904761904762,30.5952380952381,13.9285714285714,32.7857142857143,39.0476190476191,22.452380952381,7.85714285714286,7.80952380952381,2.38095238095238,100.833333333333,22.3809523809524,97.3809523809524,14.2857142857143,98.7857142857143,8.5,36.0714285714286,54.8809523809524,12.6666666666667,26.452380952381,6.02380952380952,3.14285714285714,110.214285714286,113.52380952381,26.0238095238095,51.4523809523809,113.880952380952,24.3571428571429,60.2619047619048,99.4285714285714,27.6190476190476,48.6190476190476,36.6666666666667,0.766044443118978
"6","F","ARIKARA",-100,260,50,171.111111111111,170.222222222222,97.5185185185185,126.814814814815,136.481481481481,112.814814814815,130.666666666667,123.888888888889,71.2592592592593,105.407407407407,95.1481481481482,67.6296296296296,50.5185185185185,115,25.8148148148148,62.0740740740741,24.8888888888889,11.1111111111111,34.6296296296296,39.2222222222222,20.1481481481481,9.48148148148148,8.59259259259259,3.48148148148148,94.8148148148148,23.6296296296296,94.7777777777778,16.2962962962963,95.962962962963,10.2592592592593,34.8518518518519,50.6666666666667,10.7037037037037,22.2592592592593,4.74074074074074,2.25925925925926,107.925925925926,105.62962962963,23.3703703703704,46.7777777777778,104.074074074074,22.5925925925926,53.3703703703704,91.037037037037,26.5555555555556,44.1481481481481,35.4444444444444,0.642787609686539
"7","M","ARIKARA",-100,260,50,179.47619047619,177.690476190476,102.833333333333,133.357142857143,141.547619047619,116.428571428571,140.880952380952,131.333333333333,74.4047619047619,109.02380952381,98.5952380952381,71.6904761904762,54.4523809523809,122.333333333333,27.0952380952381,66.8809523809524,28.2380952380952,12.8571428571429,34.9523809523809,40.5476190476191,21.1190476190476,10.6190476190476,8.61904761904762,4.30952380952381,101.190476190476,25.8571428571429,99.0476190476191,17.5,99.1666666666667,10.3571428571429,38.3095238095238,55.9285714285714,11.6190476190476,24.4285714285714,6.45238095238095,3.47619047619048,108.428571428571,109.285714285714,21.3095238095238,50.7142857142857,108.928571428571,24.0952380952381,54.7142857142857,95.1428571428571,27.547619047619,45.5,37.8571428571429,0.642787609686539
"8","F","ATAYAL",120,120,20,168.111111111111,166.111111111111,93.8888888888889,129.333333333333,131.888888888889,109.055555555556,124.222222222222,116.611111111111,70.8333333333333,105.388888888889,91.2777777777778,60.3333333333333,46.9444444444444,108.555555555556,25.8888888888889,60.2777777777778,23.7777777777778,10.2777777777778,32.8333333333333,37,20.5555555555556,8.05555555555556,7.83333333333333,2.33333333333333,88.8333333333333,20.4444444444444,91.3333333333333,14.2222222222222,92.3888888888889,8.88888888888889,33.3888888888889,49,11.2222222222222,19.7222222222222,4.77777777777778,2.16666666666667,106.277777777778,104.555555555556,25.7777777777778,45.1666666666667,108.833333333333,24.1111111111111,58.0555555555556,91.4444444444444,25.5555555555556,42.9444444444444,35.3333333333333,0.939692620785908
"9","M","ATAYAL",120,120,20,177.034482758621,174.379310344828,97.9310344827586,133.51724137931,135.758620689655,113.275862068966,133.068965517241,122.965517241379,74.1724137931034,108.413793103448,94.3448275862069,65.1379310344828,50.2758620689655,116.724137931034,26.5862068965517,63.7586206896552,26.7241379310345,12.1379310344828,33.4827586206897,38.2758620689655,22.4137931034483,8.55172413793103,7.6551724137931,2.94827586206897,95.7241379310345,21.0344827586207,95.8275862068966,14.0689655172414,96.9310344827586,8.24137931034483,34.551724137931,52.2413793103448,12.1379310344828,21.3103448275862,5.68965517241379,3.03448275862069,109.51724137931,109.275862068966,26.5862068965517,46.6551724137931,112.310344827586,24.3448275862069,59.3793103448276,93.3103448275862,26.5172413793103,43.3448275862069,37.3103448275862,0.939692620785908
"10","F","AUSTRALI",140,140,-30,181.102040816327,177.285714285714,96.1632653061225,123.530612244898,127.510204081633,106.224489795918,125.775510204082,113.244897959184,68.530612244898,104.489795918367,100.448979591837,61.1428571428571,46.5102040816327,111.714285714286,26.2448979591837,62.6326530612245,24.734693877551,10.7551020408163,33.1020408163265,39.9591836734694,20.8979591836735,10.1632653061224,10.1428571428571,3.44897959183673,91.6326530612245,23.2244897959184,97.6530612244898,17.2448979591837,97.530612244898,10.265306122449,37.0204081632653,50.4489795918367,10.4285714285714,19.469387755102,6.18367346938776,3.95918367346939,100.224489795918,105.857142857143,25.3265306122449,46.4897959183673,110.265306122449,22.6326530612245,55,91.4081632653061,28.9795918367347,40.3877551020408,35.2040816326531,0.866025403784439
"11","M","AUSTRALI",140,140,-30,190.307692307692,185.423076923077,101.980769230769,129.615384615385,131.942307692308,110.096153846154,136.769230769231,120.134615384615,71.3076923076923,109.75,105.5,64.7692307692308,49.6923076923077,120.884615384615,27.8846153846154,66.8846153846154,29.8653846153846,12.7115384615385,33.4615384615385,41.8653846153846,21.6923076923077,11.5384615384615,10.3461538461538,4.05769230769231,98.3461538461538,24.1346153846154,102.423076923077,17.5384615384615,101.980769230769,10.2692307692308,40.9807692307692,55.3461538461538,11.3653846153846,21.1923076923077,7.40384615384615,5.36538461538461,101.346153846154,111.903846153846,25.2307692307692,50.2307692307692,116.634615384615,23.9038461538462,58.4038461538462,92.1153846153846,29.1346153846154,43.5192307692308,36.6538461538462,0.866025403784439
"12","F","BERG",15,15,45,170.528301886792,168.547169811321,92.9245283018868,124.471698113208,140.358490566038,118.735849056604,126.377358490566,120.320754716981,71.0566037735849,108.188679245283,89.9056603773585,63.4905660377358,48.2264150943396,111.056603773585,24.8867924528302,60.6037735849057,25.5849056603774,11.5471698113208,32.7547169811321,38.377358490566,22.0754716981132,10.6603773584906,9.15094339622642,3.90566037735849,89.5283018867924,21.9245283018868,95.0377358490566,16.7735849056604,95.188679245283,9.94339622641509,32.6792452830189,49.3584905660377,9.73584905660377,21.0943396226415,5.26415094339623,2.37735849056604,117.660377358491,106.22641509434,26.5094339622642,46.8490566037736,105.207547169811,23.3207547169811,54.6603773584906,91.4339622641509,27.9056603773585,45.9433962264151,36.2264150943396,0.707106781186548
