Variable,qualitative,quantitative,quantitative
,discrete,discrete,continuous
a. shoe size (as bought in a store),,,
b. price of a salad in a salad bar,,,
c. vote for a political party,,,
d. travelling time to a holiday destination,,,
e. color of eyes,,,
f. gender,,,
g. reaction time in a lexical recognition task,,,
h. customers’ satisfaction on a scale from 1 to 10,,,
i. number of words in a written sentence,,,
j. spoken utterance length,,,
k. number of goals per player in a football event,,,
l. body height of a person,,,
m. number of vowels in a language,,,
