country,year,sex_ratio
Burundi,1952,91.9
Comoros,1952,98.8
Djibouti,1952,98.6
Eritrea,1952,98.2
Ethiopia,1952,98.6
Kenya,1952,101.7
Madagascar,1952,105.9
Malawi,1952,92.3
Mauritius,1952,99.2
Mozambique,1952,95.6
Rwanda,1952,96.6
Somalia,1952,98.6
Uganda,1952,99.5
Zambia,1952,99.1
Zimbabwe,1952,99.4
Angola,1952,94.2
Cameroon,1952,96.1
Central African Republic,1952,97.2
Chad,1952,97.5
Equatorial Guinea,1952,96.7
Gabon,1952,95.2
Sao Tome and Principe,1952,124.9
Algeria,1952,103.5
Egypt,1952,101.7
Libya,1952,107.2
Morocco,1952,99
Sudan,1952,99.8
Tunisia,1952,98.7
Botswana,1952,93.8
Lesotho,1952,88.3
Namibia,1952,98.7
South Africa,1952,101.6
Swaziland,1952,94.6
Benin,1952,87.2
Burkina Faso,1952,110.3
Gambia,1952,95
Ghana,1952,102.2
Guinea,1952,100
Guinea-Bissau,1952,97.8
Liberia,1952,108.5
Mali,1952,104.8
Mauritania,1952,95.8
Niger,1952,82.3
Nigeria,1952,99.5
Senegal,1952,95.4
Sierra Leone,1952,96
Togo,1952,97.2
China,1952,107.9
Japan,1952,96.2
Mongolia,1952,96.7
Afghanistan,1952,112.2
Bangladesh,1952,109.2
India,1952,105.4
Nepal,1952,98.2
Pakistan,1952,119.8
Sri Lanka,1952,119.5
Cambodia,1952,100
Indonesia,1952,98.4
Malaysia,1952,106
Myanmar,1952,98.3
Philippines,1952,98.9
Singapore,1952,107.4
Thailand,1952,100.7
Bahrain,1952,116.1
Iraq,1952,99.5
Israel,1952,105.8
Jordan,1952,107.9
Kuwait,1952,147.7
Lebanon,1952,101.3
Oman,1952,103.1
Saudi Arabia,1952,103.1
Turkey,1952,101.1
Bulgaria,1952,99.9
Hungary,1952,92.8
Poland,1952,91
Romania,1952,93.6
Denmark,1952,98.4
Finland,1952,91.5
Iceland,1952,100
Ireland,1952,103.6
Norway,1952,98.2
Sweden,1952,99.2
United Kingdom,1952,92.6
Albania,1952,105.4
Bosnia and Herzegovina,1952,93.3
Croatia,1952,91
Greece,1952,94.7
Italy,1952,94.9
Montenegro,1952,90.8
Portugal,1952,92.6
Serbia,1952,94.4
Slovenia,1952,91.6
Spain,1952,92.8
Austria,1952,86.6
Belgium,1952,97.2
France,1952,92.6
Germany,1952,85.7
Netherlands,1952,99.4
Switzerland,1952,93
Cuba,1952,106.8
Dominican Republic,1952,102.6
Haiti,1952,95.3
Jamaica,1952,94.7
Puerto Rico,1952,100.9
Trinidad and Tobago,1952,100.7
Costa Rica,1952,104.2
El Salvador,1952,97.4
Guatemala,1952,102
Honduras,1952,101.2
Mexico,1952,98.9
Nicaragua,1952,98.9
Panama,1952,105.1
Argentina,1952,106.1
Brazil,1952,98.4
Chile,1952,97.2
Colombia,1952,98.4
Ecuador,1952,98.8
Paraguay,1952,96.9
Peru,1952,100.9
Uruguay,1952,102.4
Canada,1952,102.9
Australia,1952,101.6
New Zealand,1952,101.1
Burundi,1957,92.6
Comoros,1957,98.9
Djibouti,1957,98.7
Eritrea,1957,98.4
Ethiopia,1957,98.7
Kenya,1957,101.1
Madagascar,1957,104.5
Malawi,1957,93.2
Mauritius,1957,99.2
Mozambique,1957,95.5
Rwanda,1957,96.4
Somalia,1957,98.2
Uganda,1957,99
Zambia,1957,98.8
Zimbabwe,1957,99.4
Angola,1957,94.4
Cameroon,1957,96.4
Central African Republic,1957,96.9
Chad,1957,96.1
Equatorial Guinea,1957,96.3
Gabon,1957,95.2
Sao Tome and Principe,1957,124.9
Algeria,1957,101.6
Egypt,1957,102.3
Libya,1957,105
Morocco,1957,99.1
Sudan,1957,99.7
Tunisia,1957,99
Botswana,1957,93.8
Lesotho,1957,88.2
Namibia,1957,97.8
South Africa,1957,100.6
Swaziland,1957,93.9
Benin,1957,89.4
Burkina Faso,1957,106.5
Gambia,1957,95.7
Ghana,1957,102.8
Guinea,1957,98.7
Guinea-Bissau,1957,97.6
Liberia,1957,105.3
Mali,1957,103.3
Mauritania,1957,97.1
Niger,1957,86.4
Nigeria,1957,99.6
Senegal,1957,97.2
Sierra Leone,1957,95.5
Togo,1957,97.1
China,1957,107.1
Japan,1957,96.7
Mongolia,1957,96.9
Afghanistan,1957,109.3
Bangladesh,1957,107.9
India,1957,106
Nepal,1957,98.4
Pakistan,1957,117.4
Sri Lanka,1957,114.3
Cambodia,1957,99.8
Indonesia,1957,98.6
Malaysia,1957,104.1
Myanmar,1957,96.5
Philippines,1957,100.3
Singapore,1957,111
Thailand,1957,100.3
Bahrain,1957,113.9
Iraq,1957,100
Israel,1957,103.3
Jordan,1957,109
Kuwait,1957,159
Lebanon,1957,101.2
Oman,1957,100.3
Saudi Arabia,1957,101.8
Turkey,1957,100.1
Bulgaria,1957,99.6
Hungary,1957,93.7
Poland,1957,92.2
Romania,1957,94.6
Denmark,1957,98.5
Finland,1957,92.2
Iceland,1957,101.4
