Date,Cases,Countries
2022-02-22,33374,Austria
2022-02-21,23783,Austria
2022-02-20,21601,Austria
2022-02-19,22058,Austria
2022-02-18,26153,Austria
2022-02-17,30888,Austria
2022-02-16,31092,Austria
2022-02-15,39128,Austria
2022-02-14,26692,Austria
2022-02-13,24278,Austria
2022-02-12,25193,Austria
2022-02-11,30026,Austria
2022-02-10,33351,Austria
2022-02-09,35231,Austria
2022-02-08,39978,Austria
2022-02-07,28842,Austria
2022-02-06,26030,Austria
2022-02-05,30066,Austria
2022-02-04,33273,Austria
2022-02-03,36897,Austria
2022-02-02,33690,Austria
2022-02-01,44131,Austria
2022-01-31,27813,Austria
2022-01-30,26210,Austria
2022-01-29,29051,Austria
2022-01-28,33712,Austria
2022-01-27,37974,Austria
2022-01-26,35889,Austria
2022-01-25,38280,Austria
2022-01-24,26766,Austria
2022-01-23,25258,Austria
2022-01-22,23441,Austria
2022-01-21,26738,Austria
2022-01-20,29751,Austria
2022-01-19,25197,Austria
2022-01-18,28187,Austria
2022-01-17,18365,Austria
2022-01-16,16189,Austria
2022-01-15,14957,Austria
2022-01-14,17117,Austria
2022-01-13,16990,Austria
2022-01-12,16873,Austria
2022-01-11,16548,Austria
2022-01-10,12698,Austria
2022-01-09,10938,Austria
2022-01-08,10720,Austria
2022-01-07,7059,Austria
2022-01-06,8897,Austria
2022-01-05,8795,Austria
2022-01-04,10086,Austria
2022-01-03,5998,Austria
2022-01-02,3490,Austria
2022-01-01,3004,Austria
2021-12-31,3706,Austria
2021-12-30,3809,Austria
2021-12-29,3181,Austria
2021-12-28,3344,Austria
2021-12-27,2606,Austria
2021-12-26,1735,Austria
2021-12-25,1634,Austria
2021-12-24,2117,Austria
2021-12-23,2264,Austria
2021-12-22,2163,Austria
2021-12-21,2816,Austria
2021-12-20,1950,Austria
2021-12-19,1887,Austria
2021-12-18,1989,Austria
2021-12-17,2348,Austria
2021-12-16,2699,Austria
2021-12-15,2934,Austria
2021-12-14,4133,Austria
2021-12-13,2935,Austria
2021-12-12,3265,Austria
2021-12-11,3271,Austria
2021-12-10,4825,Austria
2021-12-09,3126,Austria
2021-12-08,4318,Austria
2021-12-07,6089,Austria
2021-12-06,4428,Austria
2021-12-05,4271,Austria
2021-12-04,5315,Austria
2021-12-03,6267,Austria
2021-12-02,7267,Austria
2021-12-01,8774,Austria
2021-11-30,10965,Austria
2021-11-29,8108,Austria
2021-11-28,7988,Austria
2021-11-27,9622,Austria
2021-11-26,12055,Austria
2021-11-25,12126,Austria
2021-11-24,14464,Austria
2021-11-23,14515,Austria
2021-11-22,11979,Austria
2021-11-21,11642,Austria
